composer,sex,bipoc,race,country,continent,latitude,longitude,born,died
Bart Howard,M,N,White,USA,North America,40.81055556,-91.10138889,1915,
Bartolomeo Tromboncino,M,N,White,Italy,Europe,45.43861111,10.99277778,1470,1535
Basile Barès,M,N,White,Unknown,North America,,,1831,1885
Baude Cordier,M,N,White,France,Europe,49.26527778,4.028611111,1380,1440
Beach Boys,Unknown,N,White,USA,North America,33.9617,-118.3531,,
Bedřich Smetana,M,N,White,Czech Republic,Europe,49.87206438,16.31057647,1824,1884
"Ben Bernie, Maceo Pinkard",M,Y,BIPOC,USA,North America,40.6687,-74.1143,1891,1943
Ben Kynard,M,Y,BIPOC,Unknown,North America,,,1920,
Benedetto Marcello,M,N,White,Italy,Europe,45.43972222,12.33194444,1686,1739
Bernardo Pasquini,M,N,White,Italy,Europe,43.91666667,10.75,1637,1710
Bernart de Ventadorn,M,N,White,France,Europe,45.39555556,2.104722222,,1195
Bernhard Henrik Crusell,M,N,White,Finland,Europe,60.8,21.40972222,1775,1838
Bernie Miller,M,Y,BIPOC,USA,North America,38.9072,-77.0369,1919,1945
Bert Williams,M,Y,BIPOC,Bahamas,North America,25.0443,-77.3504,1874,1922
Bessie Smith,F,Y,BIPOC,USA,North America,35.04555556,-85.26722222,1894,1937
Betty Jackson King,F,Y,BIPOC,USA,North America,41.88194444,-87.62777778,1928,1944
Beyoncé,F,Y,BIPOC,Unknown,North America,,,1981,
Bianca Maria Meda,F,N,White,Italy,Europe,45.1897,9.1563,1665,1700
Bill Withers,M,Y,BIPOC,USA,North America,37.674,-81.0567,1938,
Billie Joe Armstrong,M,N,White,USA,North America,37.8,-122.25,1972,
Billy Joel,M,N,White,USA,North America,40.71277778,-74.00611111,1949,
Billy Strayhorn,M,Y,BIPOC,USA,North America,39.7589,-84.1916,1915,1967
Billy Taylor,M,Y,BIPOC,UK,Europe,54.713,-1.749,1921,
Blondie,F,N,White,USA,North America,25.7617,-80.1918,1945,
Bo Diddley,M,Y,BIPOC,USA,North America,31.24377778,-90.45316667,1928,
Bob Dylan,M,N,White,USA,North America,46.78694444,-92.09805556,1941,
Bob Feldman,M,N,White,USA,North America,40.6782,-73.9442,1942,
Bob Marley,M,Y,BIPOC,Jamaica,North America,18.2978,-77.2781,1945,1981
Bon Jovi,M,N,White,USA,North America,40.5086,-74.2679,1962,
Bonnie McKee,F,N,White,USA,North America,38.35388889,-121.9727778,1983,
Bono,M,N,White,UK,Europe,53.34972222,-6.260277778,1960,
Brewster Higley,M,N,White,USA,North America,39.0426,-82.1365,1826,1911
Brewster M. Higley,M,N,White,USA,North America,39.0426,-82.1365,1823,1911
Brian Holland,M,Y,BIPOC,USA,North America,42.33166667,-83.0475,1941,
Brian Potter,M,N,White,UK,Europe,53.4084,-2.9916,,
Brian Wilson,M,N,White,USA,North America,33.9617,-118.3531,1942,
Britney Spears,F,N,White,USA,North America,31.2438,-90.4532,1981,
Bruce Springsteen,M,N,White,USA,North America,40.2954,-73.9899,1949,
Bruno Goyeneche,M,N,White,Argentina,South America,-34.6037,-58.3816,1849,1936
Bruno Mars,M,Y,BIPOC,USA,North America,21.3069,-157.8583,1985,
Buddy DeSylva,M,N,White,USA,North America,40.71277778,-74.00611111,1895,1950
Béla Bartók,M,N,White,Unknown,Europe,,,1881,1945
Calixa Lavallée,M,N,White,Unknown,North America,,,1842,1891
Calvin Harris,M,N,White,UK,Europe,55.06666667,-3.616666667,1984,
Camille Saint-Saëns,M,N,White,Unknown,Europe,,,1835,1921
Carl Friedrich Zelter,M,N,White,Germany,Europe,52.51666667,13.38333333,1758,1832
Carl Heinrich Graun,M,N,White,Germany,Europe,51.5494,13.3631,1703,1759
Carl Maria von Weber,M,N,White,Germany,Europe,54.132,10.6139,1786,1826
Carl Nielsen,M,N,White,Denmark,Europe,55.31139,10.41444,1865,1931
Carl Philipp Emanuel Bach,M,N,White,Germany,Europe,50.98111111,11.32944444,1714,1788
Carl Reinecke,M,N,White,Germany,Europe,53.55,9.9333,1824,1910
Carl Rossini Diton,M,Y,BIPOC,USA,North America,39.9526,-75.1652,1886,1962
Carla Bley,F,N,White,USA,North America,37.8,-122.25,1936,
Carol Owens,F,N,White,USA,North America,33.6469,-117.6861,1931,
Carole King,F,N,White,USA,North America,40.65083333,-73.94972222,1942,
Caroline Ridderstolpe,F,N,White,Germany,Europe,52.51666667,13.38333333,1800,1868
Caroline Shaw,F,N,White,USA,North America,35.60166667,-77.3725,1982,
Carrie Jacobs-Bond,F,N,White,USA,North America,42.6854687,-89.0136316,1862,1946
Cecil Mack,M,Y,BIPOC,USA,North America,40.71277778,-74.00611111,1873,1944
Cecilia Burney,F,N,White,UK,Europe,51.5074,-0.1278,1789,1821
CeeLo Green,M,Y,BIPOC,USA,North America,33.75694444,-84.39027778,1974,
Celeste Heckscher,F,N,White,USA,North America,39.9526,-75.1652,,
Chaka Khan,F,Y,BIPOC,USA,North America,41.88194444,-87.62777778,1953,
"Charles Albert, Sr. Tindley",M,Y,BIPOC,USA,North America,38.3226,-75.2177,1851,1933
Charles Gounod,M,N,White,France,Europe,48.85666667,2.352222222,1818,1893
Charles Ignatius Sancho,M,Y,BIPOC,Atlantic Ocean,North America,1,-25,1739,1780
Charles Ives,M,N,White,USA,North America,41.40222222,-73.47111111,1874,1954
Charles Leslie Johnson,M,N,White,USA,North America,39.10666667,-94.67638889,1876,1950
Charles Strouse,M,N,White,USA,North America,40.7128,-74.006,1928,
Charles Wuorinen,M,N,White,USA,North America,40.72833333,-73.99416667,1938,
Charles de Janon,M,N,White,Colombia,South America,4.711,-74.0721,1834,1911
Charlie Parker,M,Y,BIPOC,USA,North America,39.10666667,-94.67638889,1920,1955
Charlotte Amalie Sachsen-Gotha-Altenburg,F,N,White,Germany,Europe,50.9485,10.7019,1650,1685
Charlotte Amalie Sachsen‑Gotha‑Altenburg,F,N,White,Unknown,Europe,,,1751,1827
Chen Yi,F,Y,BIPOC,China,Asia,34.72296,112.77955,1953,
Chicago,M,N,White,USA,North America,41.8781,-87.6298,1967,
Chris Smith,M,Y,BIPOC,USA,North America,32.7765,-79.9311,1879,1949
Christian Alejandro Almada,M,N,White,Argentina,South America,-32.2433,-63.9817,,
Christian Gregor,M,N,White,Poland,Europe,50.7309,16.6568,1723,1801
Christian Onyeji,M,Y,BIPOC,Nigeria,Africa,6.4483,7.5137,1967,
Christian Petzold,M,N,White,Germany,Europe,50.918,14.0734,1677,1733
Christina Aguilera,F,N,White,USA,North America,40.57194444,-74.14694444,1980,
Christina Perri,F,N,White,USA,North America,39.95277778,-75.16361111,1986,
Christoph Willibald Gluck,M,N,White,Germany,Europe,49.14583333,11.42055556,1714,1787
Christopher Paul Caswell,M,N,White,USA,North America,43.16555556,-77.61138889,1952,
Chuck Berry,M,N,White,USA,North America,38.62638889,-90.19944444,1926,
Clara Greenwood,F,N,White,Unknown,Unknown,,,,
Clara Rogers,F,N,White,UK,Europe,51.8994,-2.0783,1844,1931
Clara Scott,F,N,White,USA,North America,42.0031,-87.9964,1841,1897
Clara Wieck Schumann,F,N,White,Germany,Europe,51.3406321,12.3747329,1819,1896
Clarence Williams,M,Y,BIPOC,USA,North America,30.2842,-91.2406,1898,1965
Claude Arrieu,F,N,White,France,Europe,48.87416667,2.311111111,1903,1990
Claude Debussy,M,N,White,France,Europe,48.8969,2.0923,1862,1918
Claude François,M,N,White,Unknown,Africa,,,1939,1978
Claude Hopkins,M,Y,BIPOC,USA,North America,38.80472222,-77.04722222,1903,1984
Claude‑Michel Schönberg,M,N,White,Unknown,Europe,,,1944,
Claudio Monteverdi,M,N,White,Italy,Europe,45.13333333,10.02472222,1567,1643
Clifford Brown,M,Y,BIPOC,USA,North America,39.74833333,-75.55138889,1930,1956
Clint Lagerberg,M,N,White,Sweden,Europe,,,,
Clémentine Padieu,F,N,White,Unknown,Unknown,,,,
Coldplay,M,N,White,UK,Europe,50.7184,-3.5339,1977,
Cole Porter,M,N,White,USA,North America,40.7578,-86.0678,1891,1964
Conlon Nancarrow,M,N,White,USA,North America,33.43305556,-94.02055556,1912,1997
Corona Schröter,F,N,White,Unknown,Europe,,,1751,1802
Cory Wells,M,N,White,USA,North America,42.8864,-78.8784,1941,
Count Basie,M,Y,BIPOC,USA,North America,40.3509,-74.0703,1904,1984
Cream,M,N,White,UK,Europe,51.3,-0.506,1945,
Cyndi Lauper,F,N,White,USA,North America,40.71277778,-74.00611111,1953,
Cynthia Weil,F,N,White,USA,North America,40.71277778,-74.00611111,1937,
Cécile Chaminade,F,N,White,Unknown,Europe,,,1857,1944
César Cortinas,M,Y,BIPOC,Unknown,South America,,,1892,1918
César Franck,M,N,White,Unknown,Europe,,,1822,1890
DJ Khaled,M,Y,BIPOC,USA,North America,29.97611111,-90.07833333,1975,
Dan Smith,M,N,White,UK,Europe,51.5074,-0.1278,1986,
Daniel Auber,M,N,White,France,Europe,49.18138889,-0.363611111,1782,1871
Daniel Gottlob Türk,M,N,White,Unknown,Europe,,,1756,1813
Daniel Kelley,M,N,White,USA,North America,,,1833,1905
Danny Elfman,M,N,White,USA,North America,,,1953,
Darius Milhaud,M,N,White,France,Europe,43.29666667,5.376388889,1892,1974
Dave Brubeck,M,N,White,USA,North America,37.97805556,-122.0311111,1920,
David Mann,M,N,White,USA,North America,,,1916,
David Ruffin,M,Y,BIPOC,USA,North America,34.7562,-88.4431,1941,1991
De Fesch,M,N,White,Netherlands,Europe,52.6324,4.7534,1687,1757
Deep Purple,M,N,White,UK,Europe,51.346,-2.9778,1945,
Delphine Ugalde,F,N,White,France,Europe,48.864027,2.361531,1829,1910
Denis Gaultier,M,N,White,France,Europe,48.85666667,2.352222222,1603,1672
Dennis Lambert,M,N,White,USA,North America,39.96222222,-83.00055556,1944,
Dire Straits,M,N,White,UK,Europe,55.8642,-4.2518,1949,
Dmitri Borisovich Kabalevsky,M,N,White,Russia,Europe,59.95,30.31666667,1904,1987
Dmitri Shostakovich,M,N,White,Russia,Europe,59.9311,30.3609,1906,1975
Dmitry Bortniansky,M,N,White,Ukraine,Europe,51.682,33.911,1751,1825
Dmytro Bortniansky,M,N,White,Ukraine,Europe,51.67645759,33.90778143,1751,1825
Dolly Parton,F,N,White,USA,North America,35.8681,-83.5618,1946,
Domenico Cimarosa,M,N,White,Italy,Europe,40.9730341,14.2064748,1749,1801
Domenico Scarlatti,M,N,White,Italy,Europe,40.83583333,14.24861111,1685,1757
Don Henley,M,N,White,USA,North America,32.7287,-94.9422,1947,
Don McLean,M,N,White,USA,North America,40.9115,-73.7824,1945,
Dora Pejačević,F,N,White,Unknown,Europe,,,1885,1923
Dorothy Fields,F,N,White,USA,North America,40.2368,-74.0065,1905,1974
Dorothy LaBostrie,F,Y,BIPOC,USA,North America,37.5,-85,1929,
Dorothy Payne,F,N,White,USA,North America,40.7426,-84.1052,1935,
Dorothy Rudd Moore,F,Y,BIPOC,USA,North America,39.66472222,-75.56527778,1940,
Duke Ellington,M,Y,BIPOC,USA,North America,38.895,-77.03666667,1899,1974
Earle Brown,M,N,White,USA,North America,42.59444444,-71.725,1926,
"Earth, Wind & Fire",Unknown,Y,BIPOC,USA,North America,41.8781,-87.6298,1969,
Ebenzer Prout,M,N,White,UK,Europe,52.4809,-0.4674,1835,1909
Ed King,M,N,White,USA,North America,34.17083333,-118.25,1949,
Ed Sheeran,M,N,White,UK,Europe,53.727,-1.8575,1991,
Edgard Varèse,M,N,White,Unknown,Europe,,,1883,1965
Edmond Dédé,M,Y,BIPOC,Unknown,North America,,,1827,1901
Edmund Angerer,M,N,White,Austria,Europe,47.5225,12.42555556,1740,1794
Eduardo Fabini,M,N,White,Uruguay,South America,-34.6,-55.46666667,1882,1950
Edvard Grieg,M,N,White,Norway,Europe,60.3925,5.323333333,1843,1907
Edward Barnes,M,N,White,USA,North America,,,1958,1958
Edward Heyman,M,N,White,USA,North America,40.71277778,-74.00611111,1907,1981
Edward Holland,M,Y,BIPOC,USA,North America,42.33166667,-83.0475,1939,
Edwin Pierce Christy,M,N,White,USA,North America,39.9526,-75.1652,1815,1862
Eleanor Alberga,F,Y,BIPOC,Jamaica,North America,17.97138889,-76.79305556,1949,
Elfrida Andrée,F,N,White,Unknown,Europe,,,1841,1929
Elisabeth Lutyens,F,N,White,Italy,Europe,51.50722222,-0.1275,1906,1983
Elisabetta de Gambarini,F,N,White,UK,Europe,,,1731,1765
Eliza Flower,F,N,White,UK,Europe,51.7731,0.1004,1803,1846
Eliza Holt,F,Y,BIPOC,UK,Europe,,,,
Elizabeth Cuthbert,F,N,White,UK,Europe,,,,
Elizabeth Mounsey,F,N,White,UK,Europe,51.5074,-0.1278,1819,1905
Elizabeth Pym Cumberland,F,N,White,UK,Europe,,,1779,1840
Elizabeth Turner,F,N,White,USA,North America,33.2475,-84.2708,1700,1756
Ellen Taaffe Zwilich,F,N,White,USA,North America,25.78333333,-80.21666667,1939,
Elliott Carter,M,N,White,USA,North America,40.72833333,-73.99416667,1908,1993
Elton John,M,N,White,UK,Europe,51.5952,-0.378,1947,
Elvis Presley,M,Y,BIPOC,USA,North America,34.2576,-88.7034,1935,1977
Emilie Mayer,F,N,White,Germany,Europe,53.6703,13.5511,1812,1883
Emilie Zumsteeg,F,N,White,Germany,Europe,48.7758,9.1829,1796,1857
Emilio Martin de las Cabañas,M,N,White,Unknown,Unknown,,,1750,1803
Emily Swan Perkins,F,N,White,USA,North America,,,1866,1941
Emily Wilson,F,N,White,Unknown,Unknown,,,,
Emma Ashford,F,N,White,UK,Europe,51.8736,-1.2672,1837,1930
Emma Louise Ashford,F,N,White,USA,North America,39.68333333,-75.75,1884,1964
Emma Moody,F,N,White,Unknown,Unknown,,,,
Enrique Granados,M,N,White,Spain,Europe,41.61666667,0.633333333,1867,1916
Enrique Saborido,M,N,White,Uruguay,South America,-34.90591667,-56.19131111,1877,1941
Eric Stewart,M,N,White,UK,Europe,53.482,-2.1457,1945,
Erika Maria Ender Simoes,F,Y,BIPOC,Panama,North America,8.971111111,-79.53472222,1984,
Ernest Chausson,M,N,White,France,Europe,48.85666667,2.352222222,1855,1899
Ernesto Nazareth,M,Y,BIPOC,Brazil,South America,-22.91111111,-43.20555556,1863,1934
Ernst Wilhelm Wolf,M,N,White,Germany,Europe,51.0219,10.5283,1735,1792
Erroll Garner,M,Y,BIPOC,USA,North America,40.4406,-79.9959,1921,1977
Erzsébet Szönyi,F,N,White,Unknown,Europe,,,1924,
Eubie Blake,M,Y,BIPOC,USA,North America,39.2904,-76.6122,1887,1983
Eugène Dédé,M,Y,BIPOC,Unknown,North America,,,1867,1919
Eva Applefield,F,N,White,USA,North America,,,,1949
Eva Jessye,F,Y,BIPOC,USA,North America,37.0372,-95.6163,1895,1992
Fanny Mendelssohn Hensel,F,N,White,Germany,Europe,53.55,10,1805,1847
Felice Giardini,M,N,White,Italy,Europe,45.07916667,7.676111111,1716,1796
Felix Mendelssohn,M,N,White,Germany,Europe,53.5488,9.9872,1809,1847
Ferdinando Carulli,M,N,White,Italy,Europe,40.83583333,14.24861111,1770,1841
Fernando Obradors,M,N,White,Spain,Europe,41.3825,2.176944444,1897,1945
Fernando Sor,M,N,White,Spain,Europe,41.3825,2.176944444,1778,1839
Fiona Apple,F,N,White,USA,North America,40.7831,-73.9712,1977,
Fleetwood Mac,Unknown,N,White,UK,Europe,51.5074,-0.1278,,
Florence B. Price,F,Y,BIPOC,USA,North America,34.74444444,-92.28805556,1887,1953
Florence Price,F,Y,BIPOC,USA,North America,34.74444444,-92.28805556,1887,1953
Foo Fighters,Unknown,N,White,USA,North America,41.2373,-80.8184,,
Foreigner,Unknown,N,White,UK,Europe,51.5074,-0.1278,,
Frances Arkwright,F,N,White,UK,Europe,,,,
Frances Emily / Lady Sempill,F,N,White,UK,Europe,,,1835,1887
Frances Havergal,F,N,White,UK,Europe,52.4411,-2.2283,1836,1879
Frances L. Hummell,F,N,White,USA,North America,,,,
Francesca Caccini,F,N,White,Italy,Europe,43.77138889,11.25416667,1587,1641
Francesca LeBrun,F,N,White,Germany,Europe,49.48777778,8.466111111,1756,1794
Francesco Geminiani,M,N,White,Italy,Europe,43.85,10.51666667,1687,1762
Francis A. Clark,M,N,White,USA,North America,,,1868,1948
Francis Johnson,M,Y,BIPOC,USA,North America,39.95277778,-75.16361111,1792,1844
Francis Poulenc,M,N,White,France,Europe,48.85666667,2.352222222,1899,1963
Francisco Buencamino,M,Y,BIPOC,Philippines,Asia,15.145833,120.978333,1883,1952
Frank Edwin,M,N,White,Unknown,Unknown,,,1972,
Frank Loesser,M,N,White,USA,North America,40.71277778,-74.00611111,1910,1969
Frankie Lymon,M,Y,BIPOC,USA,North America,40.7128,-74.006,1942,1968
Franz Benda,M,N,White,Czech Republic,Europe,50.3223,14.8307,1709,1786
Franz Gruber,M,N,White,Austria,Europe,48.06666667,15.04722222,1787,1863
Franz Joseph Haydn,M,N,White,Austria,Europe,48.06666667,16.85,1732,1809
Joseph Haydn,M,N,White,Austria,Europe,48.06666667,16.85,1732,1809
Franz Liszt,M,N,White,Austria,Europe,47.56611111,16.53138889,1811,1886
Franz Schubert,M,N,White,Austria,Europe,48.2081,16.3713,1797,1828
Franziska Lebrun,F,N,White,Germany,Europe,49.4875,8.466,1756,1791
François Couperin,M,N,White,Unknown,Europe,,,1668,1733
Freddie Mercury,M,Y,BIPOC,Tanzania,Africa,-6.166666667,39.2,1946,1991
Frederick J. Work,M,Y,BIPOC,USA,North America,36.1627,-86.7816,1880,1942
Frederick Loewe,M,N,White,Germany,Europe,52.51666667,13.3,1901,1988
Frei Jesuíno do Monte Carmelo,M,Y,BIPOC,Unknown,South America,,,1764,1819
Friedrich Filitz,M,N,White,Germany,Europe,50.83416667,10.94638889,1804,1876
Friedrich Franz Burgmüller,M,N,White,Unknown,Europe,,,1806,1847
Friedrich Kulhau,M,N,White,Germany,Europe,52.96472222,10.56583333,1786,1832
Fritz Kreisler,M,N,White,Austria,Europe,48.20833333,16.3725,1875,1962
Fromental Halévy,M,N,White,Unknown,Europe,,,1799,1862
Frédéric Chopin,M,N,White,Poland,Europe,52.068,20.339,1810,1849
Frédéric Riesterer,M,N,White,Unknown,Unknown,,,1961,
G.F. Handel,M,N,White,Germany,Europe,51.4825,11.9694,1685,1759
Gabriel Fauré,M,N,White,Unknown,Europe,,,1845,1924
Gaetano Donizetti,M,N,White,Italy,Europe,45.695,9.67,1797,1848
Garth Brooks,M,N,White,USA,North America,36.13138889,-95.93722222,1962,
Gary Rossington,M,N,White,USA,North America,30.31666667,-81.65,1951,
Georg Benda,M,N,White,Czech Republic,Europe,50.29091837,14.82351354,1722,1795
Georg Joseph Vogler,M,N,White,Germany,Europe,49.79444444,9.929444444,1749,1814
Georg Philipp Telemann,M,N,White,Germany,Europe,52.1315889,11.6399609,1681,1767
George Crumb,M,N,White,USA,North America,38.34722222,-81.63333333,1928,
George F. Root,M,N,White,USA,North America,42.11027778,-73.35555556,1820,1895
George Frideric Handel,M,N,White,Germany,Europe,51.4825,11.9694,1685,1759
George Gershwin,M,N,White,USA,North America,40.6782,-73.9442,1898,1937
George Harrison,M,N,White,UK,Europe,53.4084,-2.9916,1943,
George M. Cohan,M,N,White,USA,North America,41.82399,-71.41283,1878,1942
George Michael,M,N,White,UK,Europe,51.59016111,-0.175338889,1963,
George R. Poulton,M,N,White,UK,Europe,51.64140833,-1.860958333,1828,1867
George Strait,M,N,White,USA,North America,29.0333,-98.5667,1952,
Georges Bizet,M,N,White,France,Europe,48.8794,2.34245,1838,1875
Gerald Jackson,M,Y,BIPOC,USA,North America,,,,
Germaine Tailleferre,F,N,White,France,Europe,48.8025,2.485555556,1892,1983
Gerry Goffin,M,N,White,USA,North America,40.65083333,-73.94972222,1939,
Giacomo Meyerbeer,M,N,White,Germany,Europe,52.4925,13.78847222,1791,1864
Giacomo Puccini,M,N,White,Italy,Europe,43.85,10.51666667,1858,1924
Gioachino Rossini,M,N,White,Italy,Europe,43.91076,12.913866,1792,1868
Giovanni Battista Pergolesi,M,N,White,Italy,Europe,43.523775,13.246197,1710,1736
Giovanni Battista Somis,M,N,White,Unknown,Europe,,,1686,1763
Giovanni Benedetto Platti,M,N,White,Italy,Europe,45.40777778,11.87333333,1692,1763
Giovanni Legrenzi,M,N,White,Italy,Europe,45.8875,9.9462,1626,1690
Giovanni Pierluigi da Palestrina,M,N,White,Italy,Europe,41.83333333,12.9,1525,1594
Giuseppe Giordani,M,N,White,Italy,Europe,40.83583333,14.24861111,1750,1798
Giuseppe Verdi,M,N,White,Italy,Europe,44.95222222,10.07208333,1813,1901
Giuseppi Verdi,M,N,White,Italy,Europe,44.95222222,10.07208333,1813,1901
Glenn Miller,M,N,White,USA,North America,40.7375,-95.03583333,1904,1944
Gloria Gaynor,F,N,White,USA,North America,40.7357,-74.1724,1949,
Grace Wassall,F,N,White,Unknown,Unknown,,,1870,1919
Green Day,M,N,White,USA,North America,37.8044,-122.2712,1972,
Gregory Hein,M,N,White,Unknown,Unknown,,,1992,
Guillaume Costeley,M,N,White,France,Europe,49.35416667,0.513888889,1531,1606
Guillaume Dufay,M,N,White,Belgium,Europe,50.7631,4.3086,1397,1474
Guillaume de Machaut,M,N,White,Belgium,Europe,50.7631,4.3086,1397,1474
Gussie Davis,M,Y,BIPOC,USA,North America,39.76666667,-84.2,1863,1899
Gustav Holst,M,N,White,UK,Europe,51.89651944,-2.078427778,1874,1934
Gustav Mahler,M,N,White,Czech Republic,Europe,49.5926554,15.30409944,1860,1911
